DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Öresundskraft Elnät AB;Skåne-Halland region;SKH;REGIONAL;SE4;SE
E.ON Energidistribution AB;Skåne Landsbygd;SKL;DISTRIBUTION;SE4;SE
Mellerst Skånes Kraft, ek för;Skåne Mellersta;SNM;DISTRIBUTION;SE4;SE
E.ON Energidistribution AB;Skåne Västra Lokalnät;SKV;DISTRIBUTION;SE4;SE
Skånska Energi Nät AB;Skånska;SKN;DISTRIBUTION;SE4;SE
Skara Elnät AB;Skara;SKA;DISTRIBUTION;SE3;SE
Skellefteå Kraft Elnät AB;Skellefteå;SKT;DISTRIBUTION;SE1;SE
Skellefteå Kraft Elnät AB;Skellefteå region;SKF;REGIONAL;SE1;SE
Vattenfall Eldistribution AB;Skillingaryd;SKR;DISTRIBUTION;SE3;SE
Skövde Energi Elnät AB;Skövde;SKD;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Skövde Landsbygd;SLD;DISTRIBUTION;SE3;SE
Skurups Elverk AB;Skurup;SKP;DISTRIBUTION;SE4;SE
Skyllberg Elnät AB;Skyllbergs Bruk;SBR;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Småland Norra lokalnät;SMN;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Småland region;SML;REGIONAL;SE3;SE
E.ON Energidistribution AB;Småland Södra;SMS;DISTRIBUTION;SE4;SE
Smedjebacken Energi Nät AB;Smedjebacken;SMB;DISTRIBUTION;SE3;SE
Söderhamn Elnät AB;Söderhamn;SHN;DISTRIBUTION;SE2;SE
Telge Elnät AB;Södertälje;SDT;DISTRIBUTION;SE3;SE
Skellefteå Kraft Elnät AB;Solberg region;SOL;REGIONAL;SE2;SE
Sollentuna Elnät AB;Sollentuna;SOT;DISTRIBUTION;SE3;SE
Sölvesborgs Elnät AB;Sölvesborg;SBG;DISTRIBUTION;SE4;SE
Sörbylunds Elnät AB;Sörbylund;SBL;PRODUCTION;SE3;SE
Arise Elnät AB;Staberget;STA;REGIONAL;SE2;SE
Staffanstorps Energi AB;Staffanstorp;SFP;DISTRIBUTION;SE4;SE
Svenska kraftnät;Stamnät Snittområde 1;ST1;TRANSMISSION;SE1;SE
Svenska kraftnät;Stamnät Snittområde 2;ST2;TRANSMISSION;SE2;SE
Svenska kraftnät;Stamnät Snittområde 3;ST3;TRANSMISSION;SE3;SE
Svenska kraftnät;Stamnät Snittområde 4;ST4;TRANSMISSION;SE4;SE
Stensjön Kraft AB;Stensjöfallet region;STF;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Stenungsund;SGD;DISTRIBUTION;SE3;SE
Ellevio AB;Stockholm;STH;DISTRIBUTION;SE3;SE
Swedavia AB;Stockholm-Arlanda;ARN;NONCON;SE3;SE
Ellevio AB;Stockholm Region;STO;REGIONAL;SE3;SE
SEVAB Nät AB;Strängnäs Tätort;SGS;DISTRIBUTION;SE3;SE
Vattenfall Kraftgården AB;Stugun region;STU;REGIONAL;SE2;SE
Sturefors Eldistribution AB;Sturefors;SRF;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Sundsvall region;SUR;REGIONAL;SE2;SE
Sundsvall Elnät AB;Sundsvall tätort;SUV;DISTRIBUTION;SE2;SE
Eskilstuna Energi och Miljö Elnät AB;Svalboviken;SBV;DISTRIBUTION;SE3;SE
Svenska kraftnät;SwePollink;SWP;TRANSMISSION;SE4;SE
Vattenfall Eldistribution AB;Sydmälaren;SYM;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Sydsvenska region;SYD;REGIONAL;SE4;SE
